+-------------+-------------------+------+-----------------------------------------------------+----------------+---------------+
| run:fill    | time              | ncms | hltpath                                             | delivered(/fb) | recorded(/fb) |
| 257969:4444 | 10/01/15 01:24:08 | 634  | HLT_PFMETNoMu90_JetIdCleaned_PFMHTNoMu90_IDTight_v2 | 0.043          | 0.042         |
| 258129:4448 | 10/02/15 09:56:47 | 95   | HLT_PFMETNoMu90_JetIdCleaned_PFMHTNoMu90_IDTight_v2 | 0.006          | 0.006         |
| 258136:4448 | 10/02/15 10:38:14 | 60   | HLT_PFMETNoMu90_JetIdCleaned_PFMHTNoMu90_IDTight_v2 | 0.004          | 0.004         |
| 258157:4449 | 10/02/15 14:07:10 | 56   | HLT_PFMETNoMu90_JetIdCleaned_PFMHTNoMu90_IDTight_v2 | 0.004          | 0.004         |
| 258158:4449 | 10/02/15 14:33:52 | 1784 | HLT_PFMETNoMu90_JetIdCleaned_PFMHTNoMu90_IDTight_v2 | 0.115          | 0.112         |
| 258159:4449 | 10/03/15 02:09:44 | 501  | HLT_PFMETNoMu90_JetIdCleaned_PFMHTNoMu90_IDTight_v2 | 0.028          | 0.027         |
| 258177:4452 | 10/03/15 20:21:28 | 1905 | HLT_PFMETNoMu90_JetIdCleaned_PFMHTNoMu90_IDTight_v2 | 0.115          | 0.112         |
| 258211:4455 | 10/04/15 16:54:29 | 87   | HLT_PFMETNoMu90_JetIdCleaned_PFMHTNoMu90_IDTight_v2 | 0.007          | 0.007         |
| 258213:4455 | 10/04/15 17:32:20 | 165  | HLT_PFMETNoMu90_JetIdCleaned_PFMHTNoMu90_IDTight_v2 | 0.013          | 0.012         |
| 258214:4455 | 10/04/15 18:38:59 | 217  | HLT_PFMETNoMu90_JetIdCleaned_PFMHTNoMu90_IDTight_v2 | 0.017          | 0.016         |
| 258215:4455 | 10/04/15 20:07:49 | 6    | HLT_PFMETNoMu90_JetIdCleaned_PFMHTNoMu90_IDTight_v2 | 0.000          | 0.000         |
| 258287:4462 | 10/05/15 15:44:45 | 179  | HLT_PFMETNoMu90_JetIdCleaned_PFMHTNoMu90_IDTight_v2 | 0.015          | 0.014         |
| 258403:4466 | 10/06/15 14:10:07 | 250  | HLT_PFMETNoMu90_JetIdCleaned_PFMHTNoMu90_IDTight_v2 | 0.017          | 0.016         |
| 258425:4467 | 10/06/15 18:50:09 | 134  | HLT_PFMETNoMu90_JetIdCleaned_PFMHTNoMu90_IDTight_v2 | 0.011          | 0.011         |
| 258426:4467 | 10/06/15 20:00:12 | 10   | HLT_PFMETNoMu90_JetIdCleaned_PFMHTNoMu90_IDTight_v2 | 0.001          | 0.001         |
| 258427:4467 | 10/06/15 20:06:18 | 107  | HLT_PFMETNoMu90_JetIdCleaned_PFMHTNoMu90_IDTight_v2 | 0.009          | 0.008         |
| 258428:4467 | 10/06/15 20:54:17 | 159  | HLT_PFMETNoMu90_JetIdCleaned_PFMHTNoMu90_IDTight_v2 | 0.013          | 0.012         |
| 258432:4467 | 10/06/15 23:04:32 | 4    | HLT_PFMETNoMu90_JetIdCleaned_PFMHTNoMu90_IDTight_v2 | 0.000          | 0.000         |
| 258434:4467 | 10/06/15 23:11:39 | 453  | HLT_PFMETNoMu90_JetIdCleaned_PFMHTNoMu90_IDTight_v2 | 0.033          | 0.033         |
| 258440:4467 | 10/07/15 02:10:32 | 731  | HLT_PFMETNoMu90_JetIdCleaned_PFMHTNoMu90_IDTight_v2 | 0.049          | 0.048         |
| 258444:4467 | 10/07/15 09:00:44 | 37   | HLT_PFMETNoMu90_JetIdCleaned_PFMHTNoMu90_IDTight_v2 | 0.002          | 0.002         |
| 258445:4467 | 10/07/15 09:52:47 | 302  | HLT_PFMETNoMu90_JetIdCleaned_PFMHTNoMu90_IDTight_v2 | 0.018          | 0.017         |
| 258446:4467 | 10/07/15 11:52:39 | 142  | HLT_PFMETNoMu90_JetIdCleaned_PFMHTNoMu90_IDTight_v2 | 0.008          | 0.008         |
| 258448:4467 | 10/07/15 12:53:07 | 728  | HLT_PFMETNoMu90_JetIdCleaned_PFMHTNoMu90_IDTight_v2 | 0.038          | 0.038         |
| 258655:4476 | 10/09/15 11:20:05 | 9    | HLT_PFMETNoMu90_JetIdCleaned_PFMHTNoMu90_IDTight_v2 | 0.001          | 0.000         |
| 258656:4476 | 10/09/15 11:24:46 | 334  | HLT_PFMETNoMu90_JetIdCleaned_PFMHTNoMu90_IDTight_v2 | 0.028          | 0.028         |
| 258694:4477 | 10/09/15 19:55:27 | 177  | HLT_PFMETNoMu90_JetIdCleaned_PFMHTNoMu90_IDTight_v2 | 0.017          | 0.017         |
| 258702:4479 | 10/10/15 07:31:21 | 351  | HLT_PFMETNoMu90_JetIdCleaned_PFMHTNoMu90_IDTight_v2 | 0.033          | 0.032         |
| 258703:4479 | 10/10/15 09:48:30 | 389  | HLT_PFMETNoMu90_JetIdCleaned_PFMHTNoMu90_IDTight_v2 | 0.035          | 0.034         |
| 258705:4479 | 10/10/15 13:01:34 | 100  | HLT_PFMETNoMu90_JetIdCleaned_PFMHTNoMu90_IDTight_v2 | 0.008          | 0.008         |
| 258706:4479 | 10/10/15 13:44:18 | 733  | HLT_PFMETNoMu90_JetIdCleaned_PFMHTNoMu90_IDTight_v2 | 0.058          | 0.056         |
| 258712:4479 | 10/10/15 18:36:26 | 524  | HLT_PFMETNoMu90_JetIdCleaned_PFMHTNoMu90_IDTight_v2 | 0.038          | 0.037         |
| 258713:4479 | 10/10/15 22:03:19 | 161  | HLT_PFMETNoMu90_JetIdCleaned_PFMHTNoMu90_IDTight_v2 | 0.011          | 0.011         |
| 258714:4479 | 10/10/15 23:06:33 | 67   | HLT_PFMETNoMu90_JetIdCleaned_PFMHTNoMu90_IDTight_v2 | 0.005          | 0.004         |
| 258741:4485 | 10/11/15 15:12:30 | 51   | HLT_PFMETNoMu90_JetIdCleaned_PFMHTNoMu90_IDTight_v2 | 0.005          | 0.005         |
| 258742:4485 | 10/11/15 15:37:24 | 692  | HLT_PFMETNoMu90_JetIdCleaned_PFMHTNoMu90_IDTight_v2 | 0.068          | 0.065         |
| 258745:4485 | 10/11/15 20:12:22 | 260  | HLT_PFMETNoMu90_JetIdCleaned_PFMHTNoMu90_IDTight_v2 | 0.024          | 0.023         |
| 258749:4485 | 10/11/15 22:08:51 | 589  | HLT_PFMETNoMu90_JetIdCleaned_PFMHTNoMu90_IDTight_v2 | 0.049          | 0.048         |
| 258750:4485 | 10/12/15 02:08:14 | 197  | HLT_PFMETNoMu90_JetIdCleaned_PFMHTNoMu90_IDTight_v2 | 0.016          | 0.015         |
| 259626:4518 | 10/20/15 04:27:54 | 337  | HLT_PFMETNoMu90_JetIdCleaned_PFMHTNoMu90_IDTight_v2 | 0.011          | 0.011         |
| 259637:4519 | 10/20/15 11:56:33 | 216  | HLT_PFMETNoMu90_JetIdCleaned_PFMHTNoMu90_IDTight_v3 | 0.016          | 0.016         |
| 259681:4522 | 10/21/15 02:10:07 | 35   | HLT_PFMETNoMu90_JetIdCleaned_PFMHTNoMu90_IDTight_v3 | 0.004          | 0.002         |
| 259683:4522 | 10/21/15 02:51:43 | 86   | HLT_PFMETNoMu90_JetIdCleaned_PFMHTNoMu90_IDTight_v3 | 0.008          | 0.008         |
| 259685:4522 | 10/21/15 03:31:12 | 623  | HLT_PFMETNoMu90_JetIdCleaned_PFMHTNoMu90_IDTight_v3 | 0.058          | 0.056         |
| 259686:4522 | 10/21/15 07:40:55 | 333  | HLT_PFMETNoMu90_JetIdCleaned_PFMHTNoMu90_IDTight_v3 | 0.028          | 0.027         |
| 259721:4525 | 10/21/15 21:49:33 | 334  | HLT_PFMETNoMu90_JetIdCleaned_PFMHTNoMu90_IDTight_v3 | 0.013          | 0.012         |
| 259809:4528 | 10/23/15 01:19:55 | 170  | HLT_PFMETNoMu90_JetIdCleaned_PFMHTNoMu90_IDTight_v3 | 0.015          | 0.014         |
| 259810:4528 | 10/23/15 02:27:57 | 114  | HLT_PFMETNoMu90_JetIdCleaned_PFMHTNoMu90_IDTight_v3 | 0.010          | 0.010         |
| 259811:4528 | 10/23/15 03:14:40 | 89   | HLT_PFMETNoMu90_JetIdCleaned_PFMHTNoMu90_IDTight_v3 | 0.008          | 0.007         |
| 259813:4528 | 10/23/15 03:55:28 | 10   | HLT_PFMETNoMu90_JetIdCleaned_PFMHTNoMu90_IDTight_v3 | 0.001          | 0.001         |
| 259817:4528 | 10/23/15 04:12:46 | 5    | HLT_PFMETNoMu90_JetIdCleaned_PFMHTNoMu90_IDTight_v3 | 0.000          | 0.000         |
| 259818:4528 | 10/23/15 04:16:25 | 160  | HLT_PFMETNoMu90_JetIdCleaned_PFMHTNoMu90_IDTight_v3 | 0.014          | 0.013         |
